geoid,weighted_wfp,e_pop,state
24510,0,614700,MARYLAND
20111,60.02854479,33299,KANSAS
19027,0,20344,IOWA
22107,0,4666,LOUISIANA
47123,0.28190292,45876,TENNESSEE
20075,0,2616,KANSAS
19151,0,6898,IOWA
16045,73.59449784,17052,IDAHO
5063,0,37264,ARKANSAS
5085,0,72206,ARKANSAS
18111,0,14018,INDIANA
13119,76.79031211,22514,GEORGIA
12051,30.43958252,40127,FLORIDA
13265,8.17419691,1665,GEORGIA
48245,60.10174557,255210,TEXAS
30059,45.21400209,1968,MONTANA
8067,77.88027592,55101,COLORADO
48027,23.58131548,342236,TEXAS
28069,0,10107,MISSISSIPPI
5019,0.232908716,22385,ARKANSAS
41035,47.03968586,66310,OREGON
36075,0,119104,NEW YORK
1019,83.06517458,25853,ALABAMA
48019,37.44722298,21763,TEXAS
30087,12.86086354,9250,MONTANA
35059,7.984450265,4175,NEW MEXICO
26153,1.484446647,8069,MICHIGAN
36111,28.43283824,179303,NEW YORK
34007,2.202437448,507367,NEW JERSEY
17083,0,22069,ILLINOIS
51085,0,104449,VIRGINIA
20199,0,1575,KANSAS
26003,0.865828174,9194,MICHIGAN
5049,0.990911184,12139,ARKANSAS
48215,6.653249113,849389,TEXAS
37155,78.57132209,133442,NORTH CAROLINA
26123,0.019838542,48142,MICHIGAN
41049,36.61113844,11215,OREGON
27153,41.55350559,24440,MINNESOTA
5083,9.567329908,21757,ARKANSAS
37109,75.63821975,81441,NORTH CAROLINA
5091,25.3142407,43759,ARKANSAS
12095,18.29264539,1321194,FLORIDA
8111,74.29791671,544,COLORADO
16041,12.64597848,13279,IDAHO
13045,87.25444064,116022,GEORGIA
20161,49.76389337,75296,KANSAS
48413,65.61277209,3061,TEXAS
51167,14.40227797,27408,VIRGINIA
37027,75.61749645,81779,NORTH CAROLINA
16065,13.26322513,38705,IDAHO
18173,0,61928,INDIANA
21001,0,19241,KENTUCKY
21077,0,8703,KENTUCKY
21097,0,18668,KENTUCKY
23023,0,35277,MAINE
30097,41.94242447,3653,MONTANA
48181,19.86635159,128560,TEXAS
42059,0,37144,PENNSYLVANIA
20051,0,28878,KANSAS
1065,0,14887,ALABAMA
1105,0.489543093,9486,ALABAMA
1033,5.800519483,54495,ALABAMA
20151,22.42474333,9582,KANSAS
21017,0,20144,KENTUCKY
47149,0,307128,TENNESSEE
13075,0,17184,GEORGIA
20101,0,1642,KANSAS
40059,47.10118426,3847,OKLAHOMA
17147,0,16427,ILLINOIS
48107,32.87169705,5861,TEXAS
1063,0,8426,ALABAMA
16033,1.794335958,1077,IDAHO
19109,0,15075,IOWA
38013,3.326081691,2213,NORTH DAKOTA
37063,0,306457,NORTH CAROLINA
19085,0.070569106,14143,IOWA
31103,25.59797651,792,NEBRASKA
19187,0,36757,IOWA
17151,0,4249,ILLINOIS
47159,0,19458,TENNESSEE
51089,1.480016202,51588,VIRGINIA
51510,0,156505,VIRGINIA
19101,0,18077,IOWA
30049,53.43990809,67077,MONTANA
49013,44.36255377,20219,UTAH
40003,1.793116417,5857,OKLAHOMA
48119,0.517851384,5215,TEXAS
47169,0,9573,TENNESSEE
21193,71.11409312,26917,KENTUCKY
46039,26.78910487,4306,SOUTH DAKOTA
41029,90.02030722,214267,OREGON
48507,0.570244673,12131,TEXAS
31007,5.891838822,696,NEBRASKA
19121,0,15890,IOWA
12011,56.84847196,1909151,FLORIDA
13279,0,27048,GEORGIA
26151,0,41376,MICHIGAN
48397,0,93642,TEXAS
26163,0,1761382,MICHIGAN
27105,0,21839,MINNESOTA
27001,24.51185127,15834,MINNESOTA
38071,0.012615338,11557,NORTH DAKOTA
37145,0,39305,NORTH CAROLINA
20195,0,2858,KANSAS
28151,0,47086,MISSISSIPPI
48133,54.15159207,18270,TEXAS
28055,0,1328,MISSISSIPPI
48123,0.130116627,20435,TEXAS
48005,25.23839951,87607,TEXAS
45081,23.70427755,20299,SOUTH CAROLINA
29125,0.017687777,8884,MISSOURI
5001,0,18124,ARKANSAS
29109,0.604612012,38133,MISSOURI
51540,0,47042,VIRGINIA
17011,0,33381,ILLINOIS
39145,0.668185423,76377,OHIO
37115,34.24700797,21405,NORTH CAROLINA
16053,25.02310275,23431,IDAHO
39163,0,13111,OHIO
48309,10.40268212,248429,TEXAS
16037,32.32726672,4141,IDAHO
19089,0,9264,IOWA
12099,42.04871131,1446277,FLORIDA
13181,13.21081912,7799,GEORGIA
1013,0,20025,ALABAMA
47165,0,179473,TENNESSEE
51097,8.399957615,7052,VIRGINIA
5015,0,27887,ARKANSAS
51820,19,21926,VIRGINIA
41051,33.23504576,798647,OREGON
47061,75.84109573,13331,TENNESSEE
27057,33.46985204,20862,MINNESOTA
38081,9.594388776,3883,NORTH DAKOTA
36089,0,109558,NEW YORK
29179,0.653786248,6315,MISSOURI
6067,36.49232015,1510023,CALIFORNIA
39125,0,18872,OHIO
18179,0,27947,INDIANA
51063,0,15666,VIRGINIA
6083,33.31424022,443738,CALIFORNIA
54005,43.21379604,22817,WEST VIRGINIA
28009,31.63954653,8253,MISSISSIPPI
21055,0,9083,KENTUCKY
19147,0,9055,IOWA
19159,0.331215398,4984,IOWA
37151,18.21074557,142958,NORTH CAROLINA
24015,0,102517,MARYLAND
18171,0,8247,INDIANA
31077,0.140689569,2410,NEBRASKA
31095,0.002935958,7188,NEBRASKA
31151,0,14288,NEBRASKA
21119,72.1355121,15513,KENTUCKY
19045,0,47218,IOWA
27063,0,10047,MINNESOTA
27039,0,20582,MINNESOTA
27047,0,30526,MINNESOTA
6009,95.61550312,45235,CALIFORNIA
25001,0,213690,MASSACHUSETTS
51119,0,10700,VIRGINIA
42065,0,44084,PENNSYLVANIA
18089,0,486849,INDIANA
47003,0,47558,TENNESSEE
47027,0,7686,TENNESSEE
17029,0,51736,ILLINOIS
47097,0,26297,TENNESSEE
41001,48.92511533,15984,OREGON
36097,0,17992,NEW YORK
26159,0,75272,MICHIGAN
17131,0,15693,ILLINOIS
21127,46.85190633,15783,KENTUCKY
21175,44.42374892,13285,KENTUCKY
21177,0,31081,KENTUCKY
17049,0,34174,ILLINOIS
47105,0,51610,TENNESSEE
46025,4.289575457,3673,SOUTH DAKOTA
12041,0,17615,FLORIDA
18157,0,189294,INDIANA
42109,0,40466,PENNSYLVANIA
48277,14.7456972,49532,TEXAS
12086,49.61318211,2715516,FLORIDA
31057,0,2023,NEBRASKA
48289,3.187155732,17098,TEXAS
8097,42.55282967,17909,COLORADO
38035,3.61798247,70400,NORTH DAKOTA
18091,0,110552,INDIANA
18057,0,316095,INDIANA
51595,0,5381,VIRGINIA
40081,50.83768159,34854,OKLAHOMA
20071,0,1200,KANSAS
13145,18.86270642,33590,GEORGIA
13251,43.15484095,13990,GEORGIA
48433,41.72223774,1385,TEXAS
39069,0,27316,OHIO
33009,0,89811,NEW HAMPSHIRE
29145,2.051630141,58202,MISSOURI
18129,0,25589,INDIANA
48311,0,662,TEXAS
17035,0,10865,ILLINOIS
13297,26.62122302,90132,GEORGIA
27121,5.280225714,10980,MINNESOTA
51157,27.61008059,7332,VIRGINIA
51009,6.193573874,31882,VIRGINIA
6111,51.50958271,848112,CALIFORNIA
17033,0,19088,ILLINOIS
8093,36.89428374,17392,COLORADO
6037,51.31649234,10098052,CALIFORNIA
4027,3.116427682,207829,ARIZONA
13129,83.81316522,56790,GEORGIA
19025,0,9780,IOWA
12055,77.4927938,102101,FLORIDA
51580,0,5582,VIRGINIA
50017,0,28937,VERMONT
20113,31.23997111,28630,KANSAS
4021,24.24236751,419721,ARIZONA
39051,0,42305,OHIO
8003,0.564818869,16444,COLORADO
12017,82.78351393,143087,FLORIDA
47041,0,19601,TENNESSEE
42031,0,38827,PENNSYLVANIA
46097,1.047779436,2229,SOUTH DAKOTA
46073,19.50635233,2029,SOUTH DAKOTA
18031,0,26552,INDIANA
18037,0,42418,INDIANA
51057,0,11036,VIRGINIA
45089,75.18628883,31794,SOUTH CAROLINA
36031,0,37751,NEW YORK
19195,0,7489,IOWA
40063,57.7884644,13460,OKLAHOMA
51027,32.5669154,22138,VIRGINIA
51005,0.003209317,15286,VIRGINIA
28087,0,59437,MISSISSIPPI
18143,0,23743,INDIANA
8099,0.483331016,12052,COLORADO
48435,58.23834422,3865,TEXAS
40101,46.80116595,69084,OKLAHOMA
29043,1.082558955,84275,MISSOURI
28073,59.20492518,61223,MISSISSIPPI
18137,0,28425,INDIANA
38057,23.38955306,8570,NORTH DAKOTA
13147,53.44293505,25631,GEORGIA
22049,0,15926,LOUISIANA
51133,0,12223,VIRGINIA
48157,2.928810813,739342,TEXAS
55047,13.20728627,18757,WISCONSIN
30073,13.08497961,6044,MONTANA
55127,0,103013,WISCONSIN
32021,8.289932735,4448,NEVADA
17057,0,35418,ILLINOIS
36103,9.614290277,1487901,NEW YORK
18161,0,7153,INDIANA
29119,2.927536839,22827,MISSOURI
31157,3.441121084,36255,NEBRASKA
35047,20.67496877,28034,NEW MEXICO
1081,2.596178033,159287,ALABAMA
48367,61.43401819,129802,TEXAS
38021,5.479602039,4970,NORTH DAKOTA
38003,2.274768651,10836,NORTH DAKOTA
27143,0,14912,MINNESOTA
13293,87.59157379,26216,GEORGIA
6097,88.15711377,501317,CALIFORNIA
26033,20.4523053,37834,MICHIGAN
16019,24.3553762,112397,IDAHO
13013,9.084642394,76887,GEORGIA
13183,0,18156,GEORGIA
48271,11.70003736,3675,TEXAS
40115,3.303781975,31566,OKLAHOMA
42033,0,80216,PENNSYLVANIA
26037,0,77896,MICHIGAN
17135,0,29009,ILLINOIS
28003,70.067472,37180,MISSISSIPPI
28071,0.000541214,53459,MISSISSIPPI
22043,6.353079019,22348,LOUISIANA
29005,0,5270,MISSOURI
17115,0,106512,ILLINOIS
26149,0,60897,MICHIGAN
17055,0,39127,ILLINOIS
30033,7.282147425,1141,MONTANA
31001,0.77792032,31583,NEBRASKA
27109,0,153065,MINNESOTA
34039,49.97079897,553066,NEW JERSEY
1097,21.79460457,414659,ALABAMA
46087,1.114294785,5511,SOUTH DAKOTA
1057,2.23118674,16585,ALABAMA
1017,6.47887371,33826,ALABAMA
37131,0,20186,NORTH CAROLINA
8081,35.32242043,13060,COLORADO
21087,0,11023,KENTUCKY
18047,0,22842,INDIANA
37013,0.766343583,47243,NORTH CAROLINA
38015,14.23708692,93737,NORTH DAKOTA
37159,77.5818899,139605,NORTH CAROLINA
26071,0,11212,MICHIGAN
27067,5.54468272,42658,MINNESOTA
21237,52.43697255,7223,KENTUCKY
48149,0,25066,TEXAS
46081,31.71371092,25234,SOUTH DAKOTA
23029,0,31694,MAINE
48045,39.31880763,1546,TEXAS
26131,0,5968,MICHIGAN
28015,0.548271317,10129,MISSISSIPPI
41003,0,89780,OREGON
27133,0,9413,MINNESOTA
42063,0,85755,PENNSYLVANIA
22061,0,47356,LOUISIANA
42099,0,45924,PENNSYLVANIA
46137,21.37920782,2814,SOUTH DAKOTA
48203,72.33090076,66645,TEXAS
26013,0,8507,MICHIGAN
40131,32.79026005,90814,OKLAHOMA
29019,0,176515,MISSOURI
40015,10.20397298,29342,OKLAHOMA
8059,71.35433163,570427,COLORADO
54011,21.75449508,95318,WEST VIRGINIA
48383,7.828728759,3752,TEXAS
5141,0.999882447,16684,ARKANSAS
8117,11.63942305,30429,COLORADO
20035,58.0445588,35591,KANSAS
5071,1.188104278,26291,ARKANSAS
36041,0,4575,NEW YORK
51045,1.753789239,5113,VIRGINIA
48083,56.38521289,8391,TEXAS
4017,13.11343709,108705,ARIZONA
28085,53.15578915,34432,MISSISSIPPI
48357,9.600302101,10348,TEXAS
48103,11.08957996,4839,TEXAS
56003,23.09802286,11901,WYOMING
47081,0,24678,TENNESSEE
28143,0,10170,MISSISSIPPI
29081,0,8554,MISSOURI
18005,0,81893,INDIANA
13223,88.65836863,155840,GEORGIA
39015,0,43679,OHIO
47141,0.041761983,76440,TENNESSEE
38101,2.492484505,69034,NORTH DAKOTA
25027,0,822280,MASSACHUSETTS
39091,0,45307,OHIO
6031,8.483422483,150075,CALIFORNIA
6073,49.23735379,3302833,CALIFORNIA
13079,46.47153533,12344,GEORGIA
29037,0,102678,MISSOURI
36027,41.26333534,293894,NEW YORK
48477,0,34796,TEXAS
8101,16.35175842,164685,COLORADO
29067,3.781515767,13374,MISSOURI
38009,0,6589,NORTH DAKOTA
37051,71.15094713,332106,NORTH CAROLINA
56017,27.72082042,4680,WYOMING
26001,6.138437677,10364,MICHIGAN
6061,84.4333313,380077,CALIFORNIA
5129,4.551748458,7923,ARKANSAS
48305,13.56021583,5808,TEXAS
36077,0,60244,NEW YORK
37153,93.40367516,45189,NORTH CAROLINA
37093,89.43330414,53239,NORTH CAROLINA
31131,0,15896,NEBRASKA
42023,0,4686,PENNSYLVANIA
45035,88.55944448,155474,SOUTH CAROLINA
27161,0,18809,MINNESOTA
46015,8.634293155,5256,SOUTH DAKOTA
47177,12.11801005,40454,TENNESSEE
17023,0,15836,ILLINOIS
21201,0,2143,KENTUCKY
47095,0,7526,TENNESSEE
45015,66.59632189,209065,SOUTH CAROLINA
5051,5.343157731,98296,ARKANSAS
20139,32.42077302,15882,KANSAS
39155,0,201794,OHIO
48333,47.56261337,4902,TEXAS
48359,23.46440482,2090,TEXAS
42019,0,186566,PENNSYLVANIA
16049,86.88397748,16337,IDAHO
20115,20.64971389,12032,KANSAS
51029,0.260768557,17004,VIRGINIA
37025,78.03437377,201448,NORTH CAROLINA
29225,6.204432271,38082,MISSOURI
49011,25.32054871,340621,UTAH
27033,0,11372,MINNESOTA
12093,71.33487712,40572,FLORIDA
13291,66.48331521,22775,GEORGIA
19013,0,133009,IOWA
48403,9.275926785,10458,TEXAS
39131,0,28214,OHIO
1125,2.515618729,206213,ALABAMA
1131,0,10809,ALABAMA
28097,0.196205855,10198,MISSISSIPPI
31099,0,6552,NEBRASKA
31087,0,2843,NEBRASKA
10003,0,555133,DELAWARE
16081,34.08057962,11080,IDAHO
17161,0,145275,ILLINOIS
51073,4.913229417,37161,VIRGINIA
5133,27.36711483,17193,ARKANSAS
18017,0,38084,INDIANA
16077,42.59765125,7713,IDAHO
18015,0,19994,INDIANA
42101,0,1575522,PENNSYLVANIA
56043,19.33913493,8129,WYOMING
37029,0,10447,NORTH CAROLINA
36109,0,102962,NEW YORK
5069,0,70424,ARKANSAS
5079,0,13695,ARKANSAS
55123,0,30516,WISCONSIN
29093,2.737346866,10221,MISSOURI
48223,4.794809755,36240,TEXAS
36001,65.67614366,307426,NEW YORK
48225,25.75830198,22955,TEXAS
39111,0,14090,OHIO
20165,0,3102,KANSAS
18107,0,38276,INDIANA
20187,0,2063,KANSAS
21129,50.63907904,6751,KENTUCKY
27071,4.29329872,12644,MINNESOTA
48029,4.677217356,1925865,TEXAS
8013,66.19936483,321030,COLORADO
47089,0.000608071,53247,TENNESSEE
40097,44.21933834,40980,OKLAHOMA
27165,0,10973,MINNESOTA
16013,36.91958322,21994,IDAHO
22053,0,31467,LOUISIANA
46119,15.56013495,1331,SOUTH DAKOTA
8031,4.932681351,693417,COLORADO
40029,62.7334996,5618,OKLAHOMA
30011,2.638855009,1318,MONTANA
48461,4.826698181,3634,TEXAS
18051,0,33596,INDIANA
31105,0.004091524,3667,NEBRASKA
17093,0,124626,ILLINOIS
11001,0,684498,DISTRICT OF COLUMBIA
8085,58.84388787,41268,COLORADO
27171,24.00962556,132745,MINNESOTA
55059,0,168330,WISCONSIN
8037,25.4193926,54357,COLORADO
6075,6.056901197,870044,CALIFORNIA
8113,62.47072607,7968,COLORADO
12109,0,235503,FLORIDA
28019,7.233763203,8321,MISSISSIPPI
29079,0,10039,MISSOURI
26085,4.056766183,11763,MICHIGAN
26139,0,284034,MICHIGAN
17031,0,5223719,ILLINOIS
17059,0,5157,ILLINOIS
45047,11.26143454,70264,SOUTH CAROLINA
20059,0.618320505,25563,KANSAS
27027,16.81504836,62801,MINNESOTA
47075,0,17779,TENNESSEE
49003,3.555441966,53001,UTAH
28139,45.15734848,21990,MISSISSIPPI
54051,0,31645,WEST VIRGINIA
54035,0,29018,WEST VIRGINIA
16039,78.65356053,26433,IDAHO
24005,0,827625,MARYLAND
38005,8.151032177,6886,NORTH DAKOTA
29163,0,18489,MISSOURI
39087,10.04629808,60622,OHIO
29201,0,38729,MISSOURI
39001,0,27878,OHIO
48143,61.07205879,41482,TEXAS
13137,70.53116085,44289,GEORGIA
13319,78.73313921,9078,GEORGIA
54061,0,105252,WEST VIRGINIA
39033,0,42021,OHIO
12027,75.13452676,36399,FLORIDA
9011,0.505609167,268881,CONNECTICUT
39059,0,39274,OHIO
26015,0,60057,MICHIGAN
29209,2.452810436,31527,MISSOURI
51760,0,223787,VIRGINIA
37169,18.32355937,45905,NORTH CAROLINA
19039,0,9282,IOWA
19065,0,19929,IOWA
6041,72.56893156,260295,CALIFORNIA
48381,15.69865052,132475,TEXAS
48401,69.94158939,53595,TEXAS
19181,0,49361,IOWA
39161,0,28281,OHIO
12043,53.39512302,13363,FLORIDA
13199,79.55678821,21113,GEORGIA
8023,37.05497376,3687,COLORADO
48099,44.21078799,75389,TEXAS
19001,0,7124,IOWA
13053,2.200298196,10767,GEORGIA
6043,82.32673427,17540,CALIFORNIA
29089,0,10113,MISSOURI
41047,34.69311309,335553,OREGON
55079,0,954209,WISCONSIN
27139,3.905082517,143372,MINNESOTA
39129,0,57420,OHIO
51145,0,28574,VIRGINIA
8014,6.556532897,66120,COLORADO
47099,0,42937,TENNESSEE
26009,0,23177,MICHIGAN
45069,85.40927269,27131,SOUTH CAROLINA
16009,28.27269972,9086,IDAHO
17103,0,34527,ILLINOIS
31127,0,7004,NEBRASKA
37031,0,68920,NORTH CAROLINA
20149,58.69945928,23545,KANSAS
26075,0,158913,MICHIGAN
48091,54.07225796,135097,TEXAS
25019,0,11101,MASSACHUSETTS
45009,22.23311019,14600,SOUTH CAROLINA
48007,3.943468504,24763,TEXAS
13019,0,19025,GEORGIA
18165,0,15560,INDIANA
26143,24.63865458,23877,MICHIGAN
37005,0.029038845,10973,NORTH CAROLINA
6035,23.35298634,31185,CALIFORNIA
51610,0,14067,VIRGINIA
12081,28.79305672,373853,FLORIDA
39119,0,86076,OHIO
8015,22.0669879,19164,COLORADO
8025,3.357412289,5630,COLORADO
8043,64.21084689,47002,COLORADO
28109,5.671340475,55149,MISSISSIPPI
28111,93.44517757,12028,MISSISSIPPI
31041,15.83268257,10830,NEBRASKA
12013,40.38470733,14444,FLORIDA
21117,0,164688,KENTUCKY
19037,0,12099,IOWA
17037,0,104200,ILLINOIS
19081,0,10888,IOWA
38089,1.162778583,30876,NORTH DAKOTA
26095,0,6364,MICHIGAN
40019,55.34770705,48406,OKLAHOMA
37139,0,39479,NORTH CAROLINA
35055,58.05359248,32888,NEW MEXICO
28011,0,32592,MISSISSIPPI
32023,1.949705596,43705,NEVADA
47073,5.307295535,56402,TENNESSEE
38011,2.736719628,3195,NORTH DAKOTA
42057,0,14506,PENNSYLVANIA
22055,0,240091,LOUISIANA
48237,68.56053849,8842,TEXAS
17175,0,5500,ILLINOIS
40055,24.56206869,5943,OKLAHOMA
48211,31.45559543,4061,TEXAS
16069,35.2078067,40155,IDAHO
46129,33.74027229,5510,SOUTH DAKOTA
6055,82.46361515,140530,CALIFORNIA
40033,16.00273125,5929,OKLAHOMA
29221,2.772485258,24931,MISSOURI
36011,0,77868,NEW YORK
48417,60.5877853,3311,TEXAS
48407,35.80505411,27819,TEXAS
19061,0,96802,IOWA
51075,0,22482,VIRGINIA
20181,0,5966,KANSAS
39139,0,121324,OHIO
17001,0,66427,ILLINOIS
39021,0,38864,OHIO
33019,0,43125,NEW HAMPSHIRE
17075,0,28169,ILLINOIS
19157,0,18605,IOWA
39169,0,116208,OHIO
13113,54.33692178,111369,GEORGIA
13141,48.49281902,8535,GEORGIA
48259,67.43154073,41982,TEXAS
36039,6.991662557,47617,NEW YORK
51137,4.569703619,35612,VIRGINIA
40089,82.04206092,32966,OKLAHOMA
13277,0,40510,GEORGIA
31025,0,25702,NEBRASKA
46077,3.67801471,4967,SOUTH DAKOTA
56009,24.37543939,13997,WYOMING
36043,0,62505,NEW YORK
38047,1.204920745,1927,NORTH DAKOTA
26053,0,15414,MICHIGAN
27005,37.01260438,33773,MINNESOTA
1095,0,95145,ALABAMA
47173,14.10096482,19293,TENNESSEE
54057,4.772672179,27278,WEST VIRGINIA
55003,0,15712,WISCONSIN
17053,0,13398,ILLINOIS
38029,36.9180576,3352,NORTH DAKOTA
6089,91.23874703,179085,CALIFORNIA
22113,0,59867,LOUISIANA
5121,0.136442537,17603,ARKANSAS
55085,0,35345,WISCONSIN
22035,0,7225,LOUISIANA
22037,0,19499,LOUISIANA
22087,11.33338548,45694,LOUISIANA
48481,0.508327789,41551,TEXAS
48153,17.14081801,5872,TEXAS
21151,6.314052088,89700,KENTUCKY
47009,6.301548576,128443,TENNESSEE
30031,52.94492124,104729,MONTANA
45031,78.00233992,67253,SOUTH CAROLINA
1053,4.620780863,37328,ALABAMA
13143,91.35875259,28956,GEORGIA
20001,0.104968789,12630,KANSAS
17041,0,19714,ILLINOIS
51079,29.47540143,19410,VIRGINIA
55137,18.10635962,24116,WISCONSIN
5065,2.664034895,13559,ARKANSAS
6053,54.99683248,433212,CALIFORNIA
35017,15.25092116,28061,NEW MEXICO
29131,1.743515723,25049,MISSOURI
