"GEOID","county_sum","weighted_wfp"
"01001",21454,0.264374486784558
"01003",59725,7.90175532160156
"01005",32134,0
"01007",22243,0.0577279386946028
"01009",23128,0.0126282631620924
"01011",22213,0
"01013",27639,0
"01015",21759,7.68244298967989
"01017",21435,0.0214492832391208
"01019",21308,13.6018216478092
"01021",24900,0.217393913900715
"01023",32726,0.000614033780035838
"01025",44520,1.85911554446978
"01027",21532,7.46940007201829
"01029",19936,20.0948047205031
"01031",24175,0
"01033",22163,0.0431445685572572
"01035",30294,0
"01037",23669,0.203631973289968
"01039",37081,0
"01041",21708,0
"01043",26818,0.0325476361121023
"01045",19990,0
"01047",35321,0
"01049",27653,5.95188202796599
"01051",23343,0.0425562132905511
"01053",33860,0.483359690144346
"01055",19496,0.735152223874044
"01057",22352,0.0110601571479033
"01059",22971,0.00980535843327252
"01061",20571,0
"01063",23459,0
"01065",23335,0
"01067",20191,0
"01069",20669,0
"01071",40036,0.70868034822023
"01073",39945,1.31547534962636
"01075",21516,0
"01077",25576,0.00129470355169332
"01079",25475,0.00274353617365164
"01081",21879,0.0119427357880964
"01083",21573,0
"01085",25763,0.000707203389196547
"01087",21778,0.000894354435653404
"01089",28871,0
"01091",34912,0
"01093",26427,0.000381782275907582
"01095",22145,0
"01097",45082,10.0859453938377
"01099",36745,0.489712559820389
"01101",28431,0.000290992265100434
"01103",21277,0
"01105",25711,0.000600005805080169
"01107",31624,0
"01109",23904,0
"01111",20755,0.858412629093608
"01113",22990,0
"01115",23210,3.12680790385449
"01117",28765,1.33192133114592
"01119",32425,0
"01121",27008,12.8853891649522
"01123",27215,0.161487429357242
"01125",48007,0.00984496090032656
"01127",28601,7.31794208335052
"01129",38662,10.469962974785
"01131",32239,0
"01133",22451,0.0126343883928989
"04001",398584,1.68833310380208
"04003",220853,0.0448796896945068
"04005",663008,1.58550524017995
"04007",170349,9.01662161155512
"04009",164850,1.09002054877134
"04011",65634,1.1434705456094
"04012",160258,0.0154520610565782
"04013",327780,0.552849229195301
"04015",478245,0.710356377598747
"04017",353818,1.02736688913449
"04019",326476,0.0199005218649434
"04021",190955,0.589875847253239
"04023",43953,0.011998268092971
"04025",288748,2.8760857123466
"04027",196086,0.0115216125609001
"05001",36891,0
"05003",33405,0
"05005",20841,0.00274464836049793
"05007",31403,0.0448760323005113
"05009",21397,0.000722232822652484
"05011",23200,0
"05013",22460,0
"05015",22688,0
"05017",24563,0
"05019",31416,0.000524158459353426
"05021",22778,0
"05023",21053,0.0020469126661949
"05025",21269,0
"05027",27250,0
"05029",20136,0.00154078363139165
"05031",25326,0
"05033",21553,1.15636995531015
"05035",22894,0
"05037",22102,0
"05039",23737,0
"05041",28857,0
"05043",29705,0
"05045",23563,3.31912558459173e-06
"05047",22019,0.102614962442926
"05049",22022,0.0014857369464449
"05051",26069,0.0143822343644477
"05053",22518,0.00248170473874972
"05055",20589,0
"05057",26273,0
"05059",22081,0.00256481646096018
"05061",21191,0.0285232513672916
"05063",27418,0
"05065",20732,0.00501752552692415
"05067",22795,0
"05069",32572,0
"05071",24326,0.00241032350992851
"05073",19445,2.35802291214492e-05
"05075",21051,0
"05077",22102,0
"05079",20243,0
"05081",20024,0.587319115090971
"05083",25957,0.0423909412756107
"05085",28525,0
"05087",29696,0.00127513853991245
"05089",22766,0.00888267293218718
"05091",22661,0.472501436745166
"05093",33042,0
"05095",22082,0
"05097",28399,0.00332258567111709
"05099",22074,0
"05101",29269,0
"05103",26246,0
"05105",19953,0
"05107",25836,0
"05109",21833,0.00245337346770957
"05111",27128,0
"05113",30625,1.45802510612835
"05115",29488,0.00331478186004193
"05117",24003,0
"05119",28690,0
"05121",23308,0.000163917882557255
"05123",22825,0
"05125",25956,0.00479463548295408
"05127",31941,0.115436350877598
"05129",23740,0.00792257444233423
"05131",19313,0.889840723532868
"05133",20652,1.53661701210351
"05135",21545,0.000669173738836009
"05137",21661,0.00207695863446464
"05139",37489,0
"05141",25720,0.00135884596973125
"05143",33863,0.228214660156543
"05145",37019,0
"05147",21094,0
"05149",33668,0.00415424341111433
"06001",26668,3.58901308019316
"06003",26404,14.3894638009297
"06005",21527,36.7407591371108
"06007",59588,42.2605250618121
"06009",36853,41.351965845472
"06011",41087,4.51468443979428
"06013",27028,2.95664060721948
"06015",36060,15.2035017564166
"06017",63470,47.8580887699454
"06019",213559,3.71096614901964
"06021",47163,14.4762847203817
"06023",128267,32.5034946016595
"06025",159186,0.0101616008975857
"06027",363340,0.375061384907006
"06029",290087,0.775662546714366
"06031",49469,0.132791217518353
"06033",47221,22.9653952841973
"06035",167710,2.38256355525965
"06037",145675,7.22406707608758
"06039",76509,9.64542346289601
"06041",19309,11.4607330806438
"06043",51970,14.8429960105727
"06045",124875,21.7515107210993
"06047",70297,1.35940921819239
"06049",149328,1.88906312625604
"06051",111286,3.40416243293696
"06053",117801,2.26567435827378
"06055",28011,14.0988051687041
"06057",34601,55.8469873050257
"06059",28381,4.08691340307465
"06061",53368,41.2277422086982
"06063",92839,31.9484222827194
"06065",259464,3.15634858303063
"06067",35306,1.80426048848058
"06069",49397,1.36895395120171
"06071",714288,1.19084847428539
"06073",151325,7.84694914679069
"06075",1748,0.0119936917647118
"06077",50691,0.452679961921373
"06079",118092,1.6818208119368
"06081",16277,8.65076927997419
"06083",97691,4.20046728672756
"06085",46195,5.11838636251836
"06087",15873,24.3988220902045
"06089",136672,33.9927883999781
"06091",34178,44.2059956167731
"06093",225532,17.242766482225
"06095",31618,0.947969871180766
"06097",56539,19.0419076347007
"06099",53788,2.40685719969877
"06101",21609,0.115685627604153
"06103",105252,28.3354482991582
"06105",113966,33.9095971047642
"06107",171884,4.37705241354707
"06109",80790,25.957782138801
"06111",65942,7.84681918688491
"06113",36375,1.10959839697503
"06115",22893,38.4612145409031
"08001",42044,0.00496192333687124
"08003",25701,0.000804225964895608
"08005",28631,0.0118984087549986
"08007",48161,10.1286055975754
"08009",90861,0.000311802178263951
"08011",54742,0.00108226441755241
"08013",26302,9.24390882308229
"08014",1196,0.0332572386448333
"08015",36061,0.471630865679042
"08017",63294,8.5455256919234e-07
"08019",14089,8.84539046726519
"08021",45860,1.44590856499497
"08023",43729,1.98251071380017
"08025",28436,0.00518069036046608
"08027",26288,4.34408753993591
"08029",40814,3.00279765741502
"08031",5493,0.0193233715662651
"08033",37953,5.71386860084995
"08035",29939,5.04417440739865
"08037",60106,0.552211573208295
"08039",65756,0.029061265864369
"08041",75645,2.06021484109454
"08043",54528,3.3925278816325
"08045",105013,4.13574457966052
"08047",5341,7.9539693570021
"08049",66433,0.466266264262594
"08051",115803,1.18116597205117
"08053",39905,5.67067205809403
"08055",56611,2.04403399470315
"08057",57588,0.179482094933396
"08059",27508,8.9220359286512
"08061",63457,3.05406239460452e-05
"08063",76794,0
"08065",13642,0
"08067",60378,8.35291792581677
"08069",93572,4.07033842185313
"08071",169666,1.17684363100103
"08073",91893,4.61436124089227e-05
"08075",65539,0
"08077",118697,3.96556481095145
"08079",31186,5.83547671955592
"08081",168784,0.671544956785756
"08083",72471,2.87466246191212
"08085",79684,2.5529015139072
"08087",45969,0
"08089",45114,0.00563411137685127
"08091",19278,3.99489544156381
"08093",78516,2.22965221210031
"08095",24444,0
"08097",34585,2.23963110183311
"08099",58418,0.000612418923509899
"08101",85189,0.56441421413279
"08103",114502,3.50342008604472
"08105",32417,1.11268985129149
"08107",84130,2.17924784652055
"08109",112621,0.0396575145448991
"08111",13795,7.28220904503262
"08113",45775,3.16238136984757
"08115",19521,0
"08117",22003,0.0451245193682007
"08119",19861,7.83597218277497
"08121",89679,0
"08123",142708,0.000606448054756574
"08125",84156,0
"09001",23267,0.999641836345908
"09003",26665,0
"09005",33550,0
"09007",13701,0.000546424871482309
"09009",22036,0.00184176232650507
"09011",24797,0.00408378721788084
"09013",14819,0
"09015",18520,0
"10001",21252,0
"10003",15472,6.33387049427333e-06
"10005",34763,0
"11001",2422,0
"12001",34415,0
"12003",20919,0
"12005",31357,1.70579484926745
"12007",10690,0
"12009",46010,6.52574365039724
"12011",43511,8.74130795766903
"12013",20410,1.89422097545437
"12015",26514,2.03457661349466
"12017",23459,12.92403607319
"12019",22862,0
"12021",74794,3.94953145747858
"12023",28467,0
"12027",22710,7.72414009580864
"12029",25573,0
"12031",30179,0
"12033",26487,0.488246738325393
"12035",18028,0
"12037",20125,0
"12039",18773,0
"12041",12618,0
"12043",35074,6.96258610509514
"12045",20285,0.184853548356694
"12047",18454,0
"12049",22669,6.86596136285999
"12051",42258,1.11395132918078
"12053",17705,5.06100970099456
"12055",39320,7.83607700447639
"12057",38511,2.05739689733201
"12059",17365,0
"12061",19194,9.41696056798622
"12063",33923,0.174402426040146
"12065",21769,0
"12067",19460,0
"12069",41091,1.17215743953421
"12071",31577,0
"12073",24926,0
"12075",41120,0.446785176874266
"12077",29957,0
"12079",25424,0
"12081",28272,4.2493997657343
"12083",59079,1.28566498293029
"12085",24072,1.16977342555632
"12086",71734,8.72504106389093
"12087",48871,2.10491752306725
"12089",23823,0
"12091",35342,0
"12093",31684,7.83140800821447
"12095",35652,0.986561182654832
"12097",53493,9.79441796506016
"12099",79124,4.99791664718417
"12101",27331,6.9271677978141
"12103",11671,0.0275909892523722
"12105",71436,6.7836818754616
"12107",29380,0
"12109",23928,0
"12111",21728,0.0443421613107577
"12113",40798,0
"12115",21513,3.98353556604403
"12117",12276,0
"12119",20594,4.16377724418625
"12121",24593,0
"12123",37440,0
"12125",8865,0
"12127",44980,0
"12129",22393,0
"12131",40767,0
"12133",21888,0.638553568891155
"13001",18190,0
"13003",12244,0
"13005",10165,0
"13007",12405,0
"13009",9532,14.6848384119035
"13011",8321,5.36087510821815
"13013",5789,0.0387357847019395
"13015",16686,12.1568095476538
"13017",9022,0
"13019",16255,0
"13021",9048,2.46968255106965
"13023",7786,0
"13025",15878,0
"13027",17684,0
"13029",16068,0
"13031",24465,0
"13033",29672,3.49814196120634
"13035",6682,28.327011082978
"13037",10074,0
"13039",24375,0
"13043",8837,0
"13045",17903,14.504480232826
"13047",5773,10.9438339825832
"13049",27791,0
"13051",17562,1.89545264161823
"13053",8927,0.175495916329351
"13055",11133,17.4846208665956
"13057",15424,13.5768412982554
"13059",4302,0.0263213096869298
"13061",7723,0
"13063",5125,1.32084942036988
"13065",29276,0
"13067",12245,3.46357719325722
"13069",21409,0
"13071",19770,0
"13073",10924,16.751178797986
"13075",8296,0
"13077",15850,15.2404843185312
"13079",11607,5.82882389364405
"13081",9979,4.3090064764423
"13083",6191,24.156281513787
"13085",7619,13.313574489941
"13087",22143,0
"13089",9633,0.218009788680787
"13091",17877,0
"13093",14115,2.91374909435873
"13095",11890,3.60406947760827
"13097",7143,8.39930774541138
"13099",18348,0
"13101",14953,0
"13103",17166,9.0784703625925
"13105",13286,0.472545249391728
"13107",24536,0
"13109",6638,0
"13111",13935,4.7041607724227
"13113",7078,5.30425974370802
"13115",18420,17.4506010921003
"13117",8785,5.9209782884424
"13119",9492,6.64144769538567
"13121",18990,0.973385939399686
"13123",15313,5.29158632259351
"13125",5137,0.847480076641088
"13127",16532,0
"13129",12750,11.590090086446
"13131",16354,0
"13133",14434,0.0228784797203084
"13135",15518,0.0445433532749971
"13137",9914,6.31472521851711
"13139",15255,6.39444254182924
"13141",16968,6.13288029441959
"13143",10057,19.0611739957112
"13145",16796,0.219092284508202
"13147",9112,1.60905343204175
"13149",10704,3.64285060906357
"13151",11609,10.8921812164144
"13153",13497,0.113598887845801
"13155",12889,0
"13157",12191,0.429276660333721
"13159",13266,17.2692559675004
"13161",11916,0
"13163",18821,2.08529933380531
"13165",12528,0.526902536652542
"13167",10886,1.78608311787894
"13169",14048,15.0784730647227
"13171",6605,17.3903353298941
"13173",7096,0
"13175",29083,4.56148671958333
"13177",12853,6.76792167142102
"13179",19229,0
"13181",9141,0.0678761942470891
"13183",14354,0
"13185",18142,0
"13187",10089,12.680286920561
"13189",9465,11.1255538945452
"13191",17076,0
"13193",14424,5.55717260372231
"13195",10149,0.721718571267911
"13197",13048,6.20268885078113
"13199",17936,10.872170484046
"13201",10075,0
"13205",18253,0
"13207",14146,17.7815325143487
"13209",8679,0
"13211",12596,0.188419301165665
"13213",12318,8.0546945109207
"13215",7858,0.00551917110837956
"13217",9918,12.4784299313595
"13219",6619,0.0632088821771331
"13221",15704,0.120666663960547
"13223",11162,15.4424595997345
"13225",5373,0.432557439939248
"13227",8267,8.85968852488119
"13229",12194,0
"13231",7797,11.3066210780012
"13233",11093,13.0599487926576
"13235",8926,0
"13237",12818,6.43896718238704
"13239",5710,0
"13241",13395,0.0236509094147155
"13243",15308,0
"13245",11677,13.5224776888987
"13247",4686,3.93487320431447
"13249",5963,8.39416990594711
"13251",23280,4.99066028914987
"13253",9102,0
"13255",7096,14.0905795478249
"13257",6534,9.54238212419303
"13259",16461,0.356159266138087
"13261",17501,2.92929297878796
"13263",14037,9.41257388295512
"13265",6939,0.0331009345108745
"13267",17362,0
"13269",13492,13.0709097738435
"13271",15777,0
"13273",11998,0.384043140968822
"13275",19620,0
"13277",9552,0
"13279",13187,0
"13281",6098,0.719192696462974
"13283",7195,0
"13285",15836,1.24551189287117
"13287",10307,1.4830550205529
"13289",12887,2.01948653923768
"13291",11696,2.8735702874177
"13293",11627,15.8721580628841
"13295",15878,16.9997291496309
"13297",11728,0.715463048584861
"13299",32253,0
"13301",10185,3.11469613570201
"13303",24310,5.1936276927171
"13305",23046,0
"13307",7481,2.29199905410484
"13309",10663,0
"13311",8606,12.110723673621
"13313",10339,11.8186013566975
"13315",13570,0
"13317",16842,0.0465677023193702
"13319",16063,9.34049722053738
"13321",20416,7.28779970842019
"16001",37680,5.20214467375301
"16003",48660,13.2302323915869
"16005",40790,1.21066345315088
"16007",37285,0.00547241227837346
"16009",27868,0.475974542924825
"16011",75329,0.341683445785269
"16013",94332,1.19002255046886
"16015",67740,25.3450723802726
"16017",68139,11.3442161743103
"16019",67513,0.186847651822631
"16021",45408,6.55972034796766
"16023",79534,0.00115630797381083
"16025",38314,6.54508530954138
"16027",21449,0.26021835141344
"16029",63897,0.32223089847656
"16031",91692,1.71328829445142
"16033",62677,0.02348592178488
"16035",88393,19.2240327351856
"16037",175478,0.885349693045884
"16039",110186,12.3332838987488
"16041",23730,1.51697327979243
"16043",67356,0.883532331293663
"16045",20055,8.81392827604192
"16047",26073,2.84157814340908
"16049",302107,21.4488115844027
"16051",39285,0.00217054810117675
"16053",21404,0.198925290850306
"16055",46504,2.6995795676501
"16057",38251,2.4614316825599
"16059",162335,1.79735687173945
"16061",17051,1.35530337515369
"16063",42843,0.954680878120298
"16065",16822,0.0685917204672308
"16067",27080,0.0323740976003561
"16069",30433,0.793111962551886
"16071",42651,0.111362660619317
"16073",273461,2.77687076745937
"16075",14580,3.82421831065721
"16077",51235,1.07267684608634
"16079",93908,14.3530094223739
"16081",16001,0.351242789231975
"16083",68524,2.84119512801992
"16085",132647,9.48209988507514
"16087",52343,7.69612008211342
"17001",30958,0
"17003",8984,0
"17005",13603,0
"17007",10015,0
"17009",10927,0
"17011",31031,0
"17013",10065,0
"17015",16589,0
"17017",13634,0
"17019",35474,0
"17021",25421,0
"17023",17928,0
"17025",16685,0
"17027",17843,0
"17029",18123,0
"17031",33971,0
"17033",15846,0
"17035",12323,0
"17037",22545,0
"17039",14393,0
"17041",14822,0
"17043",11951,0
"17045",22167,0
"17047",7911,0
"17049",17054,0
"17051",25777,0
"17053",17272,0
"17055",15333,0
"17057",31366,0
"17059",11660,0
"17061",19393,0
"17063",15297,0
