"","geoid_text","weighted_im"
"1","01001",54.859886268295
"2","01003",17.5903223105902
"3","01005",0
"4","01007",48.4445893089961
"5","01009",71.1030785195434
"6","01011",38.9158150632513
"7","01013",11.5690509786895
"8","01015",78.1583252906843
"9","01017",91.9914625612316
"10","01019",86.2726206119767
"11","01021",69.4015662650602
"12","01023",72.7685326651592
"13","01025",82.9427448337826
"14","01027",83.2190692922162
"15","01029",79.303772070626
"16","01031",0
"17","01033",75.4271082434689
"18","01035",0.0340661517132105
"19","01037",80.6082639739744
"20","01039",0
"21","01041",1.8088262391745
"22","01043",95.6869639794168
"23","01045",0
"24","01047",62.9394977492143
"25","01049",89.7168480815825
"26","01051",88.5333933084865
"27","01053",5.05673360897815
"28","01055",78.3409417316373
"29","01057",61.0332856120258
"30","01059",65.8882504026816
"31","01061",0.528802683389237
"32","01063",50.2126262841553
"33","01065",48.6014570387829
"34","01067",0
"35","01069",19.5161352750496
"36","01071",96.1896043560795
"37","01073",81.6562773813994
"38","01075",32.8990983454174
"39","01077",84.7783077885518
"40","01079",91.2464376840039
"41","01081",84.5439919557567
"42","01083",94.9422426180874
"43","01085",50.0251135349144
"44","01087",89.7759206538709
"45","01089",96.200789719788
"46","01091",65.6365719523373
"47","01093",54.4827259999243
"48","01095",92.8941973357417
"49","01097",21.3126746816911
"50","01099",73.1946387263573
"51","01101",58.4584784214414
"52","01103",94.8832542181699
"53","01105",56.1109641787562
"54","01107",42.8582405767771
"55","01109",0
"56","01111",85.0759816911588
"57","01113",10.7351457155285
"58","01115",76.4151227919
"59","01117",83.4276029897445
"60","01119",57.8433924441018
"61","01121",82.0270660545024
"62","01123",93.1372404923755
"63","01125",53.8421063594892
"64","01127",87.1511835250516
"65","01129",63.1626144534685
"66","01131",70.9889264555352
"67","01133",92.6171662732172
"68","04001",7.99308552275054
"69","04003",1.43457412849271
"70","04005",12.7680118490275
"71","04007",53.0024596563525
"72","04009",8.50075219896876
"73","04011",11.9777859036475
"74","04012",14.1990415455079
"75","04013",35.069403258283
"76","04015",18.6884065698544
"77","04017",8.36000712230582
"78","04019",2.98504024798148
"79","04021",13.7151842057029
"80","04023",0.22353422974541
"81","04025",40.1251783562137
"82","04027",15.2725997776486
"83","05001",75.7384727982435
"84","05003",71.3300104774734
"85","05005",66.0689986085121
"86","05007",76.3169442409961
"87","05009",63.5523204187503
"88","05011",72.6215086206897
"89","05013",69.1832591273375
"90","05015",65.7594763751763
"91","05017",33.2713430769857
"92","05019",72.2244716068246
"93","05021",48.5612872069541
"94","05023",82.9039566807581
"95","05025",54.1244064130895
"96","05027",47.8560366972477
"97","05029",62.2467222884386
"98","05031",51.4596462133776
"99","05033",75.983575372338
"100","05035",67.4277103171137
"101","05037",61.7862636865442
"102","05039",65.5947255339765
"103","05041",48.9095193540562
"104","05043",66.1990237333782
"105","05045",76.4160336120188
"106","05047",60.6622008265589
"107","05049",37.1556625192989
"108","05051",88.9097011776439
"109","05053",43.2809752198241
"110","05055",47.5333430472582
"111","05057",67.4857077608191
"112","05059",72.6161405733436
"113","05061",81.2862535982257
"114","05063",63.2021299875994
"115","05065",59.1767316226124
"116","05067",49.4251370914674
"117","05069",64.5360432273118
"118","05071",60.5284058209323
"119","05073",58.3038313191052
"120","05075",41.7704147071398
"121","05077",74.179938467107
"122","05079",48.8254705330238
"123","05081",78.853575709149
"124","05083",60.6647147204993
"125","05085",63.5970201577564
"126","05087",60.0495352909483
"127","05089",63.4073618553984
"128","05091",82.9345130400247
"129","05093",58.1672114278797
"130","05095",69.5206050176614
"131","05097",79.0492975104757
"132","05099",61.1505843979342
"133","05101",55.366667805528
"134","05103",71.4920749828545
"135","05105",64.837768756578
"136","05107",75.8061619445735
"137","05109",66.3325241606742
"138","05111",55.6341049837806
"139","05113",73.2198857142857
"140","05115",69.4682582745524
"141","05117",63.660500770737
"142","05119",74.5184036249564
"143","05121",53.6125364681654
"144","05123",69.3312595837897
"145","05125",79.1781476344583
"146","05127",53.5191133652672
"147","05129",58.4492417860152
"148","05131",67.7030497592295
"149","05133",81.5926786751888
"150","05135",37.6479461592017
"151","05137",75.9159780250219
"152","05139",72.4114807010056
"153","05141",76.1564152410575
"154","05143",75.2086347931371
"155","05145",67.1312028958103
"156","05147",56.8092822603584
"157","05149",61.9975941546869
"158","06001",65.2354882255887
"159","06003",78.7617027723072
"160","06005",87.3433827286663
"161","06007",93.8650063771229
"162","06009",88.2825278810409
"163","06011",72.5934967264585
"164","06013",79.4573775344088
"165","06015",25.4324459234609
"166","06017",93.4515361588152
"167","06019",44.4797362789674
"168","06021",77.8009032504294
"169","06023",49.880881286691
"170","06025",11.4872727501162
"171","06027",12.0289233225078
"172","06029",12.8052411862648
"173","06031",8.79102063918818
"174","06033",57.3168293767603
"175","06035",14.9843897203506
"176","06037",65.7525656426978
"177","06039",49.436353893006
"178","06041",59.0792894505153
"179","06043",54.4619588223975
"180","06045",55.760008008008
"181","06047",39.9831429506238
"182","06049",17.5867888138862
"183","06051",33.2383228797872
"184","06053",27.3324250218589
"185","06055",65.1371247010103
"186","06057",94.4096991416433
"187","06059",88.1730735351115
"188","06061",95.5852758207165
"189","06063",78.2186365643749
"190","06065",26.767366571085
"191","06067",77.3062652240412
"192","06069",21.0910379172824
"193","06071",8.36092444504178
"194","06073",49.3135304807533
"195","06075",32.6739130434783
"196","06077",73.0453137637845
"197","06079",20.3282694848085
"198","06081",48.152362228912
"199","06083",32.7654748134424
"200","06085",42.9307933759065
"201","06087",54.1379071379071
"202","06089",77.1279852493561
