fips,state,rpl_themes,e_pop
5129,ARKANSAS,0.4376,7923
5131,ARKANSAS,0.8328,127461
5133,ARKANSAS,0.7675,17193
5135,ARKANSAS,0.6191,17043
5137,ARKANSAS,0.5102,12446
5139,ARKANSAS,0.8054,39732
5141,ARKANSAS,0.7226,16684
5143,ARKANSAS,0.6745,228529
5145,ARKANSAS,0.7446,78804
5147,ARKANSAS,0.849,6660
5149,ARKANSAS,0.8783,21573
6001,CALIFORNIA,0.4701,1643700
6003,CALIFORNIA,0.7287,1146
6005,CALIFORNIA,0.5334,37829
6007,CALIFORNIA,0.8064,227075
6009,CALIFORNIA,0.235,45235
6011,CALIFORNIA,0.7436,21464
6013,CALIFORNIA,0.4057,1133247
6015,CALIFORNIA,0.9713,27424
6017,CALIFORNIA,0.1838,186661
6019,CALIFORNIA,0.9611,978130
6021,CALIFORNIA,0.8895,27897
6023,CALIFORNIA,0.7605,135768
6025,CALIFORNIA,0.9978,180216
6027,CALIFORNIA,0.5701,18085
6029,CALIFORNIA,0.9659,883053
6031,CALIFORNIA,0.9707,150075
6033,CALIFORNIA,0.9178,64148
6035,CALIFORNIA,0.5997,31185
6037,CALIFORNIA,0.7682,10098052
6039,CALIFORNIA,0.9541,155013
6041,CALIFORNIA,0.2701,260295
6043,CALIFORNIA,0.5293,17540
6045,CALIFORNIA,0.8818,87422
6047,CALIFORNIA,0.9717,269075
6049,CALIFORNIA,0.7516,8938
6051,CALIFORNIA,0.1408,14174
6053,CALIFORNIA,0.799,433212
6055,CALIFORNIA,0.5051,140530
6057,CALIFORNIA,0.2045,99092
6059,CALIFORNIA,0.4191,3164182
6061,CALIFORNIA,0.1519,380077
6063,CALIFORNIA,0.2653,18699
6065,CALIFORNIA,0.7939,2383286
6067,CALIFORNIA,0.7338,1510023
6069,CALIFORNIA,0.5245,59416
6071,CALIFORNIA,0.901,2135413
6073,CALIFORNIA,0.5596,3302833
6075,CALIFORNIA,0.3911,870044
6077,CALIFORNIA,0.8892,732212
6079,CALIFORNIA,0.3739,281455
6081,CALIFORNIA,0.265,765935
6083,CALIFORNIA,0.7111,443738
6085,CALIFORNIA,0.3557,1922200
6087,CALIFORNIA,0.543,273765
6089,CALIFORNIA,0.7022,179085
6091,CALIFORNIA,0.0452,2930
6093,CALIFORNIA,0.7223,43540
6095,CALIFORNIA,0.5911,438530
6097,CALIFORNIA,0.4035,501317
6099,CALIFORNIA,0.8675,539301
6101,CALIFORNIA,0.8822,95872
6103,CALIFORNIA,0.9624,63373
6105,CALIFORNIA,0.7411,12862
6107,CALIFORNIA,0.9417,460477
6109,CALIFORNIA,0.4688,53932
6111,CALIFORNIA,0.4828,848112
6113,CALIFORNIA,0.6768,214977
6115,CALIFORNIA,0.942,75493
8001,COLORADO,0.5892,497115
8003,COLORADO,0.9452,16444
8005,COLORADO,0.2662,636671
8007,COLORADO,0.257,12908
8009,COLORADO,0.6086,3563
8011,COLORADO,0.8981,5809
8013,COLORADO,0.1704,321030
8014,COLORADO,0.049,66120
8015,COLORADO,0.2389,19164
8017,COLORADO,0.2589,2039
8019,COLORADO,0.0197,9379
8021,COLORADO,0.9325,8142
8023,COLORADO,0.9379,3687
8025,COLORADO,0.893,5630
8027,COLORADO,0.2433,4640
8029,COLORADO,0.6866,30346
8031,COLORADO,0.4197,693417
8033,COLORADO,0.1516,1841
8035,COLORADO,0.015,328614
8037,COLORADO,0.1369,54357
8039,COLORADO,0.0001,25162
8041,COLORADO,0.3927,688153
8043,COLORADO,0.6525,47002
8045,COLORADO,0.351,58538
8047,COLORADO,0.0022,5924
8049,COLORADO,0.0987,15066
8051,COLORADO,0.1392,16537
8053,COLORADO,0.0624,878
8055,COLORADO,0.5955,6583
8057,COLORADO,0.1137,1296
8059,COLORADO,0.0627,570427
8061,COLORADO,0.3188,1449
8063,COLORADO,0.5153,7635
8065,COLORADO,0.4452,7585
8067,COLORADO,0.1086,55101
8069,COLORADO,0.1194,338161
8071,COLORADO,0.8373,14179
8073,COLORADO,0.4857,5548
8075,COLORADO,0.628,21689
8077,COLORADO,0.5755,149998
8079,COLORADO,0.0261,823
8081,COLORADO,0.5471,13060
8083,COLORADO,0.4946,25909
8085,COLORADO,0.7153,41268
8087,COLORADO,0.7414,28257
8089,COLORADO,0.9561,18325
8091,COLORADO,0.0239,4722
8093,COLORADO,0.0006,17392
8095,COLORADO,0.2955,4318
8097,COLORADO,0.0656,17909
8099,COLORADO,0.9392,12052
8101,COLORADO,0.8669,164685
